Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
7788582b9dabe779bb6491bbd08db2b3647c1337,1,1,2,0.958711883,7,14,434,0,1,71989,2,15,1.92E-05,0,0
92f81ce448591c8d91196890300939837ba59fed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d82f8a4306bdd2052557b4e97704d9ff53e008c1,1,1,1,0,12254,0,1,0,0,0,0,101,1.87E-05,0,0
ff45182f7fdf74caef811ecb1c3004f1fdb957a8,1,1,2,1,2,2,24650,0,2,30041,2,434,2.75E-05,0,0
348ad249a36c2936486bb8ff8d7966063eb2a5ba,1,1,1,0,34,0,21471,0,0,0,0,434,2.75E-05,0,0
7f6dc55f22347f25f626ba229268c7599c028471,1,1,1,0,2,3,3146,0,1,27227,1,434,2.79E-05,0,0
cdb18cb4e9a07d602bd5f25a2622a41ff66cb460,1,1,3,1.234497797,3,17,24934,1,4,65441,2,434,2.82E-05,0,0
f038d30a3f1d66eaa7c9005a83933d8266dafbbd,1,1,1,0,48,0,21433,0,0,0,0,434,2.96E-05,0,0
59f39e26d705e4e4ef43f259a6ed89e7484f2568,1,1,1,0,2,2,3151,0,2,83186,1,434,2.97E-05,0,0
f5dcbab6fd5ae5a396a5b5b69acfef4c6b2eadb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a0bc6b7c08261cfdf177f179f078bc4c9eeca21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0caf28a829e1fe5e0cccdc7e84af8b3424509074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a3a6394dcbe83edf33e1903b3774bd133b73f9a,1,1,1,0,64,1,21370,0,1,40640,1,425,3.18E-05,0,0
8726e43f816224db22416542137807066a3284de,1,1,1,0,6,3,3148,0,2,52558,1,424,3.18E-05,0,0
8a48ba59b8aef7d214582bfab056ccdc6e15603e,1,1,1,0,29,1,9434,0,1,4371,1,423,4.07E-05,0,0
8df9d5f5e00715b1ecf275012b453bc4d3875b92,1,1,1,0,2,1,2060,0,1,7860,1,423,4.06E-05,0,0
534e3952fb0c05d12746f4c6f8acd14331ba92d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a892d32bd7c988b8a192e9c04076048d889668da,1,1,2,1,2,2,108,0,1,2682,2,420,3.63E-05,0,0
deaf4e3f22f1c29dd4c3c62cdc7e96a2305bd387,1,1,1,0,2,1,159,1,0,0,0,14,3.47E-05,0,0
b05692f97fc9bfd81f028479c45d2d0bcdaf4300,1,1,1,0,43,1,117,0,1,84735,1,13,3.38E-05,0,0
18a2536912571620cc291d882c177e5344d13dbb,1,1,1,0,0,2,88,0,0,0,0,419,3.06E-05,0,0
2452cedb9f5389f5b0df0050426b9d8db023f99b,1,1,1,0,56,1,33,0,1,14954,1,418,3.02E-05,0,0
e8964ae4047e9a23ef29071e6269524f62d5cf57,1,1,1,0,13,0,9,0,0,0,0,417,3.02E-05,0,0
5b758a680cfeb08a1668baa60e47406abf48892c,1,1,2,0.932111568,19,4,3409,0,2,107620.5,2,12,2.41E-05,0,0
44d4afda133a45eb8130a51c28798f865e8e2f96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e6ccf6194aa107efee60ad75b9977475c6e06d6,1,1,1,0,7,5,797,0,1,61785,1,11,1.72E-05,0,0
7642cae6f67abe81fb916e813371f186fbc816e8,1,1,1,0,8,6,795,0,1,571,1,10,4.07E-05,0,0
5d96b2ab352471db8d4a6bad9e6e0dd123d43dd5,1,1,3,0.689201985,51,25,783,0,1,24427,1,9,3.98E-05,0,0
7bbaa0b6333a5fb3acb3640503bc5d5c2f9b02b8,1,1,1,0,1,1,12,1,1,185,1,8,3.03E-05,0,0
db7d31b0fcfb7ea7051523ff61e555ccaa582962,1,1,4,1.210810026,16,3,915,0,1,253,1,7,3.00E-05,0,1
1aec25dddb685291145b4fc0cb9320d40e8a107a,1,1,1,0,3,4,783,1,1,14980,1,6,2.95E-05,0,0
09d0ebe109ed5ad594d5fd19c690bc71a93abe89,1,1,1,0,2,2,132,0,1,4837,1,5,2.00E-05,0,0
f2d6a02d5d926df066493618cc037beeb6dab8dc,1,1,2,0.730926378,38,6,883,0,1,66058,1,4,1.97E-05,0,1
9b9b0765a8ca2fdb258bd67106bb7d0b6f9d40de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e735ea5e5fd618a726c749afa4285f3d9f6b13b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9717b2d9538686c991c0f7f3e5a50b5779cd9615,1,1,1,0,35,8,26,0,1,12305,1,36,3.88E-05,0,1
226cac408712d6fe3e44eb78a289c7eccb1d3fd8,1,1,1,0,16,1,120,1,0,0,0,3,4.06E-05,0,0
bebf2a28934be8c12f3f5b492e56bd48ca7877d1,1,1,2,0.591672779,6,1,863,0,1,20716,1,2,3.43E-05,0,0
687ead68be59ee956adba8b4af4ba9ee69fe91fb,1,1,2,1,2,2,1776,0,1,77662,2,1,2.92E-05,0,0
